titre,realisateur,date_debut_evenement,date_fin_evenement,cadre,lieu,adresse,arrondissement,adresse_complete,geo_coordinates,,
MAUVAIS ESPRIT,PATRICK  ALESSANDRIN,2002-09-21,2002-09-21,EXTERIEUR,RUE,EMILE DURKHEIM,75013,RUE EMILE DURKHEIM 75013 Paris France,48.832203, 2.377369,
MAUVAIS ESPRIT,PATRICK  ALESSANDRIN,2002-10-09,2002-10-09,EXTERIEUR,RUE,BEAUBOURG,75004,RUE BEAUBOURG 75004 Paris France,48.861443, 2.353579,
TAIS TOI,FRANCIS VEBER,2002-10-15,2002-10-15,EXTERIEUR,COUR,SAINT-EMILION,75012,COUR SAINT-EMILION 75012 Paris France,48.83322, 2.385396,
TAIS TOI,FRANCIS VEBER,2002-09-12,2002-09-12,EXTERIEUR,PLACE,DU GENERAL KOENIG,75017,PLACE DU GENERAL KOENIG 75017 Paris France,48.880791, 2.284749,
TAIS TOI,FRANCIS VEBER,2002-11-10,2002-11-10,EXTERIEUR,PLACE,EMILE-GOUDEAU,75018,PLACE EMILE-GOUDEAU 75018 Paris France,48.89215, 2.344447,
TAIS TOI,FRANCIS VEBER,2002-10-23,2002-10-23,EXTERIEUR,PLACE,DU GENERAL KOENIG,75017,PLACE DU GENERAL KOENIG 75017 Paris France,48.880791, 2.284749,
TAIS TOI,FRANCIS VEBER,2003-01-20,2003-01-20,EXTERIEUR,RUE,BOYER BARRET,75014,RUE BOYER BARRET 75014 Paris France,48.832159, 2.318825,
TAIS TOI,FRANCIS VEBER,2002-09-20,2002-09-20,EXTERIEUR,RUE,CESAR-FRANCK,75015,RUE CESAR-FRANCK 75015 Paris France,48.847334, 2.309764,
TAIS TOI,FRANCIS VEBER,2003-01-29,2003-01-29,EXTERIEUR,RUE,JACQUES KABLE,75018,RUE JACQUES KABLE 75018 Paris France,48.886104, 2.361127,
TAIS TOI,FRANCIS VEBER,2003-03-27,2003-03-27,EXTERIEUR,RUE,DE CHARENTON,75012,RUE DE CHARENTON 75012 Paris France,48.843229, 2.385343,
LES CLEFS DE BAGNOLE,LAURENT BAFFIE,2003-04-15,2003-04-15,EXTERIEUR,BOIS,DE BOULOGNE,75016,BOIS DE BOULOGNE 75016 Paris France,48.862449, 2.249167,
LES CLEFS DE BAGNOLE,LAURENT BAFFIE,2003-04-14,2003-04-14,EXTERIEUR,RUE,DE L'AGENT BAILLY,75009,RUE DE L'AGENT BAILLY 75009 Paris France,48.878453, 2.341854,
LES CLEFS DE BAGNOLE,LAURENT BAFFIE,2003-04-14,2003-04-14,EXTERIEUR,RUE,MANUEL,75009,RUE MANUEL 75009 Paris France,48.878451, 2.339699,
LES CLEFS DE BAGNOLE,LAURENT BAFFIE,2003-04-14,2003-04-14,EXTERIEUR,RUE,CHORON,75009,RUE CHORON 75009 Paris France,48.877578, 2.340768,
LES CLEFS DE BAGNOLE,LAURENT BAFFIE,2002-09-24,2002-09-24,EXTERIEUR,RUE,JEAN MACE,75011,RUE JEAN MACE 75011 Paris France,48.853327, 2.383023,
LES CLEFS DE BAGNOLE,LAURENT BAFFIE,2002-10-20,2002-10-20,EXTERIEUR,RUE,DE MONTPENSIER,75001,RUE DE MONTPENSIER 75001 Paris France,48.86501, 2.336908,
TA SOEUR,MARTIN VALENTE,2002-04-10,2002-04-10,EXTERIEUR,RUE,PAUL STRAUSS,75020,RUE PAUL STRAUSS 75020 Paris France,48.866539, 2.407414,
TA SOEUR,MARTIN VALENTE,2002-04-10,2002-04-10,EXTERIEUR,RUE,GEO CHAVEZ,75020,RUE GEO CHAVEZ 75020 Paris France,48.865066, 2.407596,
TA SOEUR,MARTIN VALENTE,2002-03-10,2002-03-10,EXTERIEUR,RUE,CHARLES DELESCLUZE,75011,RUE CHARLES DELESCLUZE   75011 Paris France,48.85254, 2.380124,
L'ENFER,DANIS TANOVIC,2004-11-15,2004-11-15,EXTERIEUR,RUE,VERNIQUET,75017,RUE VERNIQUET 75017 Paris France,48.887999, 2.301367,
L'ENFER,DANIS TANOVIC,2004-08-11,2004-08-11,EXTERIEUR,RUE,JEAN MERMOZ,75008,RUE JEAN MERMOZ 75008 Paris France,48.870824, 2.31152,
LE PETIT LIEUTENANT,XAVIER BEAUVOIS,2004-08-10,2004-08-10,EXTERIEUR,BERGES,DU BASSIN LOUIS BLANC,75010,BERGES DU BASSIN LOUIS BLANC 75010 Paris France,48.881203, 2.365158,
LE PETIT LIEUTENANT,XAVIER BEAUVOIS,2004-10-28,2004-10-28,EXTERIEUR,PLACE,MAURICE BARRES (EGLISE,75001,PLACE MAURICE BARRES (EGLISE 75001 Paris France,48.86, 2.341111,
LE PETIT LIEUTENANT,XAVIER BEAUVOIS,2004-10-29,2004-10-30,EXTERIEUR,PLACE,GAMBETTA,75020,PLACE GAMBETTA 75020 Paris France,48.864928, 2.398331,
LE PETIT LIEUTENANT,XAVIER BEAUVOIS,2004-08-10,2004-08-10,DOMAINE PUBLIC,SQUARE,EUGENE VARLIN,75010,SQUARE EUGENE VARLIN 75010 Paris France,48.878588, 2.364211,
SNOW WHITE,SAMIR,2004-09-28,2004-09-28,EXTERIEUR,RUE,PIAT,75020,RUE PIAT 75020 Paris France,48.872215, 2.384628,
COMME UN FRERE,CYRIL LEGANN,2004-10-24,2004-10-24,EXTERIEUR,RUE,DE LA MONTAGNE SAINTE GENEVIEVE,75005,RUE DE LA MONTAGNE SAINTE GENEVIEVE 75005 Paris France,48.848064, 2.348511,
IL NE FAUT JURER DE RIEN,ERIC CIVANYAN,2004-10-25,2004-10-25,EXTERIEUR,QUAI,D'ORLEANS,75005,QUAI D'ORLEANS 75005 Paris France,48.851629, 2.354153,
IL NE FAUT JURER DE RIEN,ERIC CIVANYAN,2004-02-12,2004-02-12,EXTERIEUR,RUE,BERTON,75016,RUE BERTON 75016 Paris France,48.854948, 2.280583,
GENTILLE,SOPHIE FILLIERES,2004-10-26,2004-10-26,EXTERIEUR,PLACE,DU PARVIS,75004,PLACE DU PARVIS 75004 Paris France,48.853733, 2.348382,
GENTILLE,SOPHIE FILLIERES,2004-10-29,2004-10-29,EXTERIEUR,RUE,DU TEMPLE,75004,RUE DU TEMPLE 75004 Paris France,48.860875, 2.355606,
DE PARTICULIER A PARTICULIER,BRICE CAUVIN,2004-11-24,2004-11-24,EXTERIEUR,PLACE,DE CLICHY,75017,PLACE DE CLICHY 75017 Paris France,48.883588, 2.327195,
DE PARTICULIER A PARTICULIER,BRICE CAUVIN,2004-11-25,2004-11-25,EXTERIEUR,RUE,DE TOLBIAC,75013,RUE DE TOLBIAC 75013 Paris France,48.826153, 2.359258,
ENNEMIS PUBLICS,KADER AYD,2004-11-24,2004-11-24,EXTERIEUR,RUE,GINETTE NEVEU,75018,RUE GINETTE NEVEU 75018 Paris France,48.900529, 2.345046,
ENNEMIS PUBLICS,KADER AYD,2004-11-24,2004-11-24,EXTERIEUR,RUE,DU PROFESSEUR GOSSET,75018,RUE DU PROFESSEUR GOSSET 75018 Paris France,48.901397, 2.350009,
BACKSTAGE,EMMANUELLE BERCOT,2004-12-15,2004-12-15,EXTERIEUR,AVENUE,MONTAIGNE (CONTRE ALLEE),75008,AVENUE MONTAIGNE (CONTRE ALLEE) 75008 Paris France,48.874167, 2.311111,
GRABUGES,JEAN PIERRE MOCKY,2004-12-16,2004-12-16,EXTERIEUR,PASSAGE,DE LA BONNE GRAINE,75011,PASSAGE DE LA BONNE GRAINE 75011 Paris France,48.851985, 2.377045,
SCIENCE OF SLEEP,MICHEL GONDRY,2005-01-24,2005-01-24,EXTERIEUR,PASSERELLE,DU PONT DU LEVANT,75019,PASSERELLE DU PONT DU LEVANT 75019 Paris France,48.832255, 2.390859,
SCIENCE OF SLEEP,MICHEL GONDRY,2005-01-24,2005-01-24,EXTERIEUR,QUAI,DE SEINE (ANGLE R DE CRIMEE),75019,QUAI DE SEINE (ANGLE R DE CRIMEE) 75019 Paris France,48.886066, 2.382069,
SCIENCE OF SLEEP,MICHEL GONDRY,2005-01-20,2005-01-20,EXTERIEUR,RUE,DAMREMONT,75018,RUE DAMREMONT 75018 Paris France,48.891844, 2.335106,
J'AI VU TUER BEN BARKA,SERGE LE PERON,2005-01-24,2005-01-24,EXTERIEUR,BERGES,QUAI DES GRANDS AUGUSTINS,75006,BERGES QUAI DES GRANDS AUGUSTINS 75006 Paris France,48.854679, 2.342401,
J'AI VU TUER BEN BARKA,SERGE LE PERON,2005-01-20,2005-01-20,EXTERIEUR,BERGES,QUAI DES GRAND AUGUSTINS,75006,BERGES QUAI DES GRAND AUGUSTINS 75006 Paris France,48.850531, 2.332233,
