titre,realisateur,date_debut_evenement,date_fin_evenement,cadre,lieu,adresse,arrondissement,adresse_complete,geo_coordinates,,
CAVALCADE,SUISSA STEVE,2004-06-28,2004-06-28,EXTERIEUR,RUE,DU FAUBOURG SAINT DENIS,75010,RUE DU FAUBOURG SAINT DENIS 75010 Paris France,48.877194, 2.356223,
CAVALCADE,SUISSA STEVE,2004-06-24,2004-06-24,EXTERIEUR,RUE,DE LANCRY,75010,RUE DE LANCRY 75010 Paris France,48.870914, 2.361474,
CAVALCADE,SUISSA STEVE,2004-05-17,2004-05-17,EXTERIEUR,RUE,DE L'ECHAUDE,75006,RUE DE L'ECHAUDE 75006 Paris France,48.853977, 2.336085,
UN AN,BOULANGER LAURENT,2004-12-05,2004-12-05,EXTERIEUR,BOULEVARD,DE LA VILLETTE,75019,BOULEVARD DE LA VILLETTE 75019 Paris France,48.878449, 2.370422,
UN AN,BOULANGER LAURENT,2004-12-05,2004-12-05,EXTERIEUR,RUE,SAINT SABIN,75011,RUE SAINT SABIN 75011 Paris France,48.857138, 2.370162,
UN AN,BOULANGER LAURENT,2004-12-05,2004-12-05,EXTERIEUR,RUE,DE LAPPE,75011,RUE DE LAPPE 75011 Paris France,48.853566, 2.372998,
UN AN,BOULANGER LAURENT,2004-12-05,2004-12-05,EXTERIEUR,RUE,SAINT ANTOINE,75004,RUE SAINT ANTOINE 75004 Paris France,48.854144, 2.364118,
OCEAN'S 12,SODERBERGH STEVEN,2004-05-24,2004-05-25,EXTERIEUR,RUE,DE MONCEAU,75008,RUE DE MONCEAU 75008 Paris France,48.878061, 2.311403,
LES POUPEES RUSSES,KLAPISCH CEDRIC,2004-06-29,2004-06-29,EXTERIEUR,BERGES,DU QUAI DE VALMY ET PASSERELLE,75010,BERGES DU QUAI DE VALMY ET PASSERELLE 75010 Paris France,48.875508, 2.357853,
LES POUPEES RUSSES,KLAPISCH CEDRIC,2004-06-14,2004-06-14,EXTERIEUR,BOULEVARD,RASPAIL,75014,BOULEVARD RASPAIL 75014 Paris France,48.840591, 2.330121,
LES POUPEES RUSSES,KLAPISCH CEDRIC,2004-11-06,2004-11-06,EXTERIEUR,RUE,DE RIVOLI,75001,RUE DE RIVOLI 75001 Paris France,48.860787, 2.341197,
LES ENFANTS,CHRISTIAN VINCENT,2004-05-25,2004-05-25,EXTERIEUR,RUE,TACLET,75020,RUE TACLET 75020 Paris France,48.871529, 2.397805,
LES ENFANTS,CHRISTIAN VINCENT,2004-07-08,2004-07-08,EXTERIEUR,RUE,DE MAUBEUGE,75009,RUE DE MAUBEUGE 75009 Paris France,48.879361, 2.348445,
LES ENFANTS,CHRISTIAN VINCENT,2004-07-13,2004-07-13,EXTERIEUR,RUE,TACLET,75020,RUE TACLET 75020 Paris France,48.871529, 2.397805,
LES ENFANTS,CHRISTIAN VINCENT,2004-05-25,2004-05-25,EXTERIEUR,RUE,ANTOINE VOLLON,75012,RUE ANTOINE VOLLON 75012 Paris France,48.850749, 2.377008,
LES ENFANTS,CHRISTIAN VINCENT,2004-09-08,2004-09-08,EXTERIEUR,RUE,BOTZARIS,75019,RUE BOTZARIS 75019 Paris France,48.879342, 2.384521,
DANS TES REVES,DENIS THYBAUD,2004-12-07,2004-12-07,EXTERIEUR,RUE,DES POISSONNIERS,75018,RUE DES POISSONNIERS 75018 Paris France,48.891781, 2.351894,
DANS TES REVES,DENIS THYBAUD,2004-12-07,2004-12-07,EXTERIEUR,RUE,DE BELLEVILLE,75020,RUE DE BELLEVILLE 75020 Paris France,48.875459, 2.391367,
DANS TES REVES,DENIS THYBAUD,2004-02-07,2004-02-07,EXTERIEUR,RUE,CHARLES CROS,75020,RUE CHARLES CROS 75020 Paris France,48.876738, 2.408045,
LE TEMPS QUI RESTE,FRANCOIS OZON,2004-06-18,2004-06-18,EXTERIEUR,PLACE,ALBERT CAMUS,75010,PLACE ALBERT CAMUS 75010 Paris France,48.877879, 2.368831,
VAS VIS ET DEVIENS,MIHAILEANU RADU,2004-06-14,2004-06-14,EXTERIEUR,BOULEVARD,DE MENILMONTANT,75011,BOULEVARD DE MENILMONTANT 75011 Paris France,48.863154, 2.387003,
20 NUITS ET UN JOUR DE PLUIE,LE LAM,2004-06-20,2004-06-20,EXTERIEUR,PORT,DE LA TOURNELLE,75005,PORT DE LA TOURNELLE 75005 Paris France,48.849811, 2.356086,
UN PRINTEMPS A PARIS,BRAL JACQUES,2004-07-06,2004-07-06,EXTERIEUR,BOULEVARD,JULES SANDEAU (ANGLE),75016,BOULEVARD JULES SANDEAU (ANGLE) 75016 Paris France,48.853093, 2.248763,
UN PRINTEMPS A PARIS,BRAL JACQUES,2004-04-06,2004-04-06,EXTERIEUR,RUE,JULES SANDEAU (ANGLE),75016,RUE JULES SANDEAU (ANGLE) 75016 Paris France,48.853093, 2.248763,
LA PANTHERE ROSE,LEVY SHAWN,2004-02-07,2004-02-07,EXTERIEUR,PLACE,JACQUES RUEFF,75007,PLACE JACQUES RUEFF 75007 Paris France,48.855927, 2.298171,
LA PANTHERE ROSE,LEVY SHAWN,2004-06-30,2004-06-30,EXTERIEUR,PONT,DE LA TOURNELLE/QUAI DE LA TOURNELLE,75004,PONT DE LA TOURNELLE/QUAI DE LA TOURNELLE 75004 Paris France,48.85042, 2.353546,
LES AMANTS REGULIERS,PHILIPPE GARREL,2004-07-17,2004-07-17,EXTERIEUR,IMPASSE,DES BOEUFS,75005,IMPASSE DES BOEUFS 75005 Paris France,48.848141, 2.347253,
LES AMANTS REGULIERS,PHILIPPE GARREL,2004-02-08,2004-02-08,EXTERIEUR,RUE,DE LA GLACIERE,75013,RUE DE LA GLACIERE 75013 Paris France,48.831899, 2.344413,
LES AMANTS REGULIERS,PHILIPPE GARREL,2004-08-26,2004-08-26,EXTERIEUR,RUE,GLACIERE,75014,RUE GLACIERE 75014 Paris France,48.831899, 2.344413,
EMMENEZ MOI,BENSIMON EDMOND,2004-06-28,2004-06-28,EXTERIEUR,BOULEVARD,GOUVION SAINT CYR,75017,BOULEVARD GOUVION SAINT CYR 75017 Paris France,48.882544, 2.286722,
VIDHYADHI,CHOUDARY BHAKTARAM,2004-10-07,2004-10-07,EXTERIEUR,AVENUE,FOCH,75016,AVENUE FOCH 75016 Paris France,48.872126, 2.285236,
VIDHYADHI,CHOUDARY BHAKTARAM,2004-07-15,2004-07-15,EXTERIEUR,PLACE,DE LA BASTILLE,75004,PLACE DE LA BASTILLE 75004 Paris France,48.853183, 2.369144,
UNE AVENTURE (LA BELLE IMAGE),GIANNOLI XAVIER,2004-12-08,2004-12-08,EXTERIEUR,AVENUE,DE FLANDRE,75019,AVENUE DE FLANDRE 75019 Paris France,48.889426, 2.375441,
GODZILLA,TAKATSU RYUICHI,2004-07-23,2004-07-23,DOMAINE PUBLIC,PARC,DU CHAMP DE MARS,75007,PARC DU CHAMP DE MARS 75007 Paris France,48.856315, 2.297387,
GODZILLA,TAKATSU RYUICHI,2004-07-24,2004-07-26,EXTERIEUR,ROUTE,DE RIVOLI,75004,ROUTE DE RIVOLI 75004 Paris France,48.858477, 2.348357,
ALEXANDER,STONE OLIVIER,2004-07-15,2004-07-15,DOMAINE PUBLIC,SQUARE,DU VERT GALANT,75001,SQUARE DU VERT GALANT 75001 Paris France,48.8575, 2.34,
KATHIRKAALAM,BASHA MAHABOOB,2004-07-28,2004-07-28,EXTERIEUR,RUE,BONAPARTE,75006,RUE BONAPARTE 75006 Paris France,48.853487, 2.333356,
LE DEMON DE MIDI,M. P OSTERRIETH,2004-09-16,2004-09-16,EXTERIEUR,BOULEVARD,DE LA CHAPELLE,75018,BOULEVARD DE LA CHAPELLE 75018 Paris France,48.884366, 2.356883,
LE DEMON DE MIDI,M. P OSTERRIETH,2004-08-16,2004-08-16,EXTERIEUR,PARVIS,DE L'EGLISE,75018,PARVIS DE L'EGLISE 75018 Paris France,50.682394, 4.371231,
LE DEMON DE MIDI,M. P OSTERRIETH,2004-09-16,2004-09-16,EXTERIEUR,RUE,CHAPPE,75018,RUE CHAPPE 75018 Paris France,48.884982, 2.341844,
AU SUIVANT,JEANNE BIRAS,2004-08-27,2004-08-27,EXTERIEUR,COURS,LA REINE,75008,COURS LA REINE 75008 Paris France,48.864827, 2.3142,
AU SUIVANT,JEANNE BIRAS,2004-08-25,2004-08-26,EXTERIEUR,RUE,SAINT AMAND,75015,RUE SAINT AMAND 75015 Paris France,48.834999, 2.307956,
AU SUIVANT,JEANNE BIRAS,2004-08-20,2004-08-20,EXTERIEUR,RUE,BOIS,75008,RUE BOIS 75008 Paris France,48.874167, 2.311111,
AU SUIVANT,JEANNE BIRAS,2004-08-25,2004-08-26,EXTERIEUR,RUE,LABROUSTE,75015,RUE LABROUSTE 75015 Paris France,48.833882, 2.30812,
LE PETIT LIEUTENANT,XAVIER BEAUVOIS,2004-10-25,2004-10-25,EXTERIEUR,QUAI,DES ORFEVRES,75001,QUAI DES ORFEVRES 75001 Paris France,48.855464, 2.342859,
LE PETIT LIEUTENANT,XAVIER BEAUVOIS,2004-01-10,2004-01-10,EXTERIEUR,RUE,CHANOINESSE,75004,RUE CHANOINESSE 75004 Paris France,48.853757, 2.350853,
RABBIT FEVER,IAN DENYER,2004-03-10,2004-03-10,EXTERIEUR,BOULEVARD,DE CLICHY,75009,BOULEVARD DE CLICHY 75009 Paris France,48.883321, 2.333763,
COMME UN FRERE,CYRIL LEGANN,2004-11-10,2004-11-10,EXTERIEUR,RUE,VIVIENNE,75002,RUE VIVIENNE 75002 Paris France,48.868907, 2.340088,
LES KANGOUROUS,ANNE FONTAINE,2004-02-10,2004-02-10,EXTERIEUR,RUE,CHATEAUBRIAND,75008,RUE CHATEAUBRIAND 75008 Paris France,48.873522, 2.30094,
IL NE FAUT JURER DE RIEN,ERIC CIVANYAN,2004-10-25,2004-10-25,DOMAINE PUBLIC,SQUARE,JEAN XXIII,75004,SQUARE JEAN XXIII 75004 Paris France,48.852432, 2.351152,
GENTILLE,SOPHIE FILLIERES,2004-02-11,2004-02-11,EXTERIEUR,RUE,AUDRY LE BOUCHER,75004,RUE AUDRY LE BOUCHER 75004 Paris France,48.860353, 2.350197,
GENTILLE,SOPHIE FILLIERES,2004-03-11,2004-04-11,EXTERIEUR,RUE,SAINT MARTIN,75004,RUE SAINT MARTIN 75004 Paris France,48.859176, 2.350345,
GENTILLE,SOPHIE FILLIERES,2004-10-26,2004-10-28,DOMAINE PUBLIC,SQUARE,JEAN XXIII,75004,SQUARE JEAN XXIII 75004 Paris France,48.852432, 2.351152,
DE PARTICULIER A PARTICULIER,BRICE CAUVIN,2004-11-26,2004-11-26,EXTERIEUR,PORT,DE L'ARSENAL,75012,PORT DE L'ARSENAL 75012 Paris France,48.832955, 2.382796,
DE PARTICULIER A PARTICULIER,BRICE CAUVIN,2004-09-12,2004-09-12,EXTERIEUR,RUE,DE RIVOLI (ABORDS  ),75001,RUE DE RIVOLI (ABORDS  ) 75001 Paris France,48.86, 2.341111,
ENNEMIS PUBLICS,KADER AYD,2004-11-24,2004-11-24,EXTERIEUR,RUE,JEAN HENRY FABRE,75018,RUE JEAN HENRY FABRE 75018 Paris France,48.90118, 2.33931,
BACKSTAGE,EMMANUELLE BERCOT,2004-09-12,2004-09-12,EXTERIEUR,RUE,DU BOCCADOR,75008,RUE DU BOCCADOR 75008 Paris France,48.866679, 2.302824,
GRABUGES,JEAN PIERRE MOCKY,2004-12-16,2004-12-16,EXTERIEUR,AVENUE,LEDRU ROLLIN,75011,AVENUE LEDRU ROLLIN 75011 Paris France,48.854529, 2.378005,
SCIENCE OF SLEEP,MICHEL GONDRY,2005-01-27,2005-01-28,EXTERIEUR,QUAI,DE SEINE,75019,QUAI DE SEINE 75019 Paris France,48.88668, 2.374554,
SCIENCE OF SLEEP,MICHEL GONDRY,2005-01-24,2005-01-24,EXTERIEUR,QUAI,DE L'OISE,75019,QUAI DE L'OISE 75019 Paris France,48.890258, 2.382685,
SCIENCE OF SLEEP,MICHEL GONDRY,2005-02-24,2005-02-25,EXTERIEUR,RUE,DOUDEAUVILLE,75018,RUE DOUDEAUVILLE 75018 Paris France,48.88852, 2.354058,
J'AI VU TUER BEN BARKA,SERGE LE PERON,2005-02-17,2005-02-17,EXTERIEUR,BOULEVARD,SAINT GERMAIN,75006,BOULEVARD SAINT GERMAIN 75006 Paris France,48.853221, 2.335691,
J'AI VU TUER BEN BARKA,SERGE LE PERON,2005-02-24,2005-02-24,DOMAINE PUBLIC,ESPLANADE,DU PALAIS DE TOKYO,75016,ESPLANADE DU PALAIS DE TOKYO 75016 Paris France,48.853093, 2.248763,
MON FILS A MOI/JE T'AIME TANT,MARTIAL FOUGERON,2005-03-18,2005-03-18,DOMAINE PUBLIC,BOIS,DE VINCENNES,75012,BOIS DE VINCENNES 75012 Paris France,48.832576, 2.418326,
BEBE/QUI DE NOUS DEUX,CHARLES BELMONT,2005-04-23,2005-04-23,DOMAINE PUBLIC,PARC,DE CHOISY,75013,PARC DE CHOISY 75013 Paris France,48.827863, 2.360171,
THE HAPPENING,NIGHT SHYALAMAN,2007-01-09,2007-01-09,EXTERIEUR,PLACE,DE LA CONCORDE,75008,PLACE DE LA CONCORDE 75008 Paris France,48.865519, 2.321454,
LE GRAND ALIBI,PASCAL BONITZER,2007-09-25,2007-09-25,EXTERIEUR,RUE,HENRI MONNIER,75009,RUE HENRI MONNIER 75009 Paris France,,,
SANS COEUR,MICHELE ROSIER,2007-09-17,2007-09-17,EXTERIEUR,RUE,PERREE,75003,RUE PERREE 75003 Paris France,48.864641, 2.361339,
SANS COEUR,MICHELE ROSIER,2007-09-17,2007-09-17,EXTERIEUR,RUE,EUGENE SPULLER,75003,RUE EUGENE SPULLER 75003 Paris France,48.864368, 2.361848,
LE BAL DES ACTRICES,MAÏWEN LE BESCO,2007-10-24,2007-10-24,EXTERIEUR,RUE,BACHAUMONT,75002,RUE BACHAUMONT 75002 Paris France,48.865968, 2.346069,
LE BAL DES ACTRICES,MAÏWEN LE BESCO,2007-09-28,2007-09-28,EXTERIEUR,RUE,DELBET,75014,RUE DELBET 75014 Paris France,,,
LE BAL DES ACTRICES,MAÏWEN LE BESCO,2007-10-18,2007-10-18,EXTERIEUR,RUE,MONTMARTRE,75002,RUE MONTMARTRE 75002 Paris France,48.867292, 2.344011,
SUR TA JOUE ENNEMIE,J.X. DE LESTRADE,2007-09-25,2007-09-25,DOMAINE PUBLIC,SQUARE,SARAH BERNARDT,75020,SQUARE SARAH BERNARDT 75020 Paris France,,,
MES AMIS, MES AMOURS,LORRAINE LEVY,2007-05-10,2007-05-10,EXTERIEUR,RUE,POULMARCH,75010,RUE POULMARCH 75010 Paris France,,
BOUQUET FINAL,MICHEL DELGADO,2007-12-20,2007-12-22,EXTERIEUR,PLACE,VAUBAN,75007,PLACE VAUBAN 75007 Paris France,48.853663, 2.312772,
BOUQUET FINAL,MICHEL DELGADO,2007-05-11,2007-05-11,EXTERIEUR,RUE,CREMIEUX,75012,RUE CREMIEUX 75012 Paris France,48.847018, 2.371107,
MUSEE HAUT, MUSEE BAS,JEAN MICHEL RIBES,2007-10-15,2007-10-15,DOMAINE PUBLIC,JARDIN,DU MUSEE DU PETIT PALAIS,75008,JARDIN DU MUSEE DU PETIT PALAIS 75008 Paris France,,
MUSEE HAUT, MUSEE BAS,JEAN MICHEL RIBES,2007-12-11,2007-12-11,DOMAINE PUBLIC,MUSEE,DU PETIT PALAIS,75008,MUSEE DU PETIT PALAIS 75008 Paris France,,
PARLEZ-MOI DE LA PLUIE,AGNES JAOUI,2007-10-15,2007-10-15,EXTERIEUR,FAUBOURG,SAINT DENIS ET R DE L'ECHIQUIER (ANGLE),75010,FAUBOURG SAINT DENIS ET R DE L'ECHIQUIER (ANGLE) 75010 Paris France,,,
OPERATION CAPUCINES,MAKA SIDIBE,2007-10-17,2007-10-17,EXTERIEUR,PLACE,DE LA REPUBLIQUE,75003,PLACE DE LA REPUBLIQUE 75003 Paris France,,,
OPERATION CAPUCINES,MAKA SIDIBE,2007-10-17,2007-10-17,EXTERIEUR,RUE,DU VOLTA,75003,RUE DU VOLTA 75003 Paris France,,,
COMME LES AUTRES/UNE FEMME DANS MA VIE,VINCENT GARENQ,2007-10-31,2007-10-31,EXTERIEUR,RUE,DES ENVIERGES,75020,RUE DES ENVIERGES 75020 Paris France,48.87228, 2.387681,
BABY BLUES,DIANE BERTRAND,2007-10-19,2007-10-19,DOMAINE PUBLIC,PARC,DES BUTTES CHAUMONT,75019,PARC DES BUTTES CHAUMONT 75019 Paris France,48.879974, 2.381841,
SECRET DEFENSE,PHILIPPE HAIM,2008-04-02,2008-04-02,EXTERIEUR,AVENUE,DES CHAMPS ELYSEES,75008,AVENUE DES CHAMPS ELYSEES 75008 Paris France,48.869576, 2.30825,
VERSAILLES,PIERRE SCHOELLER,2007-11-13,2007-11-13,EXTERIEUR,RUE,AUX OURS,75003,RUE AUX OURS 75003 Paris France,48.863147, 2.352022,
LES INSEPARABLES/CIRCUIT FERME,CHRISTINE DORY,2007-11-22,2007-11-22,EXTERIEUR,RUE,DE LA GRANGE AUX BELLES,75010,RUE DE LA GRANGE AUX BELLES 75010 Paris France,48.875657, 2.367231,
PARUVA RAAGAM,RAVI NADARAJAN,2007-12-14,2007-12-14,EXTERIEUR,AVENUE,ALBERT 1ER DE MONACO,75016,AVENUE ALBERT 1ER DE MONACO 75016 Paris France,48.861649, 2.289984,
LES HERBES FOLLES,ALAIN RESNAIS,2008-06-25,2008-06-25,EXTERIEUR,AVENUE,FRANKLIN ROOSEVELT,75008,AVENUE FRANKLIN ROOSEVELT 75008 Paris France,48.869169, 2.310126,
LES ZONES TURQUOISES,JALIL LESPERT,2008-07-04,2008-07-04,EXTERIEUR,FAUBOURG,ST-DENIS/ANGLE R DU CHATEAU D'EAU,75010,FAUBOURG ST-DENIS/ANGLE R DU CHATEAU D'EAU 75010 Paris France,,,
LES ZONES TURQUOISES,JALIL LESPERT,2008-07-04,2008-07-04,EXTERIEUR,RUE,FENELON,75010,RUE FENELON 75010 Paris France,48.87869, 2.351438,
EDEN A L'OUEST,COSTA GAVRAS,2008-04-28,2008-04-28,EXTERIEUR,AVENUE,DES CHAMPS ELYSEES,75008,AVENUE DES CHAMPS ELYSEES 75008 Paris France,48.869576, 2.30825,
EDEN A L'OUEST,COSTA GAVRAS,2008-04-28,2008-04-28,EXTERIEUR,BOULEVARD,BOURDON,75004,BOULEVARD BOURDON 75004 Paris France,48.850108, 2.366928,
EDEN A L'OUEST,COSTA GAVRAS,2008-04-22,2008-04-22,EXTERIEUR,PLACE,NATHALIE LEMEL,75003,PLACE NATHALIE LEMEL 75003 Paris France,,,
EDEN A L'OUEST,COSTA GAVRAS,2008-01-05,2008-01-05,EXTERIEUR,RUE,DE LYON,75012,RUE DE LYON 75012 Paris France,48.84936, 2.370798,
EDEN A L'OUEST,COSTA GAVRAS,2008-04-23,2008-04-23,EXTERIEUR,RUE,DE TURBIGO,75003,RUE DE TURBIGO 75003 Paris France,48.86454, 2.352086,
EDEN A L'OUEST,COSTA GAVRAS,2008-05-05,2008-05-05,EXTERIEUR,RUE,DE SEINE,75006,RUE DE SEINE 75006 Paris France,48.854513, 2.336874,
LE CODE A CHANGE,DANIELE THOMPSON,2008-05-28,2008-05-28,EXTERIEUR,AVENUE,RICHERAND,75010,AVENUE RICHERAND 75010 Paris France,48.872262, 2.366175,
LE CODE A CHANGE,DANIELE THOMPSON,2008-05-28,2008-05-28,EXTERIEUR,RUE,MANIN,75019,RUE MANIN 75019 Paris France,48.883023, 2.385709,
CHERI,STEPHEN FREARS,2008-05-20,2008-05-20,EXTERIEUR,RUE,PAUL SAUNIERE,75016,RUE PAUL SAUNIERE 75016 Paris France,,,
LE DERNIER POLICHINELLE,MAURIZIO SCAPARRO,2008-12-05,2008-12-05,EXTERIEUR,PLACE,DE LA SORBONNE,75005,PLACE DE LA SORBONNE 75005 Paris France,48.848577, 2.342194,
AN EDUCATION,LONE SCHERFIG,2008-02-05,2008-02-05,EXTERIEUR,QUAI,DE LA TOURNELLE,75005,QUAI DE LA TOURNELLE 75005 Paris France,48.85042, 2.353546,
UN CHATEAU EN ESPAGNE,ISABELLE DOVAL,2006-08-16,2006-08-16,DOMAINE PUBLIC,SQUARE,SAINT LAMBERT,75015,SQUARE SAINT LAMBERT 75015 Paris France,48.842399, 2.296644,
UN CHATEAU EN ESPAGNE,ISABELLE DOVAL,2006-07-09,2006-07-09,DOMAINE PUBLIC,SQUARE,JEAN XXIII,75004,SQUARE JEAN XXIII 75004 Paris France,48.852432, 2.351152,
FRAGILE(S),MARTIN VALENTE,2006-08-17,2006-08-17,EXTERIEUR,RUE,MICHEL ANGE ANGLE D'AUTEUIL,75016,RUE MICHEL ANGE ANGLE D'AUTEUIL 75016 Paris France,48.85, 2.266667,
LA VIE D'ARTISTE,MARC FITOUSSI,2006-08-31,2006-08-31,EXTERIEUR,RUE,LHOMOND,75005,RUE LHOMOND 75005 Paris France,48.84283, 2.347075,
LA VIE N'EST PAS UNE COMEDIE ROMANTIQUE/MA VIE SANS MEG RYAN,MARC GIBAJA,2006-04-08,2006-04-08,EXTERIEUR,PORT,DES CHAMPS ELYSEES (PENICHE ST-PAUL),75008,PORT DES CHAMPS ELYSEES (PENICHE ST-PAUL) 75008 Paris France,48.874167, 2.311111,
DEMANDEZ LA PERMISSION AUX ENFANTS,E. CIVANYAN,2006-07-26,2006-07-26,EXTERIEUR,RUE,DES PANOYAUX,75020,RUE DES PANOYAUX 75020 Paris France,48.866809, 2.387366,
L'AMOUR CACHE,ALESSANDRO CAPONE,2006-08-17,2006-08-17,EXTERIEUR,CARREFOUR,BD GARIBALDI/AV DE SEGUR,75015,CARREFOUR BD GARIBALDI/AV DE SEGUR 75015 Paris France,48.847999, 2.306026,
L'AMOUR CACHE,ALESSANDRO CAPONE,2006-08-24,2006-08-24,EXTERIEUR,PLACE,SAINT AUGUSTIN,75008,PLACE SAINT AUGUSTIN 75008 Paris France,48.875131, 2.319833,
L'AMOUR CACHE,ALESSANDRO CAPONE,2006-08-24,2006-08-24,EXTERIEUR,RUE,TRONCHET,75008,RUE TRONCHET 75008 Paris France,48.872445, 2.326256,
L'AMOUR CACHE,ALESSANDRO CAPONE,2006-08-16,2006-08-16,EXTERIEUR,RUE,DE LA PAIX,75002,RUE DE LA PAIX 75002 Paris France,48.869576, 2.331527,
L'AMOUR CACHE,ALESSANDRO CAPONE,2006-08-24,2006-08-24,EXTERIEUR,RUE,DE CASTIGLIONE,75001,RUE DE CASTIGLIONE 75001 Paris France,48.86593, 2.327898,
L'AMOUR CACHE,ALESSANDRO CAPONE,2006-08-24,2006-08-24,EXTERIEUR,RUE,DE RIVOLI,75001,RUE DE RIVOLI 75001 Paris France,48.860787, 2.341197,
RUSH HOUR 3,BRETT RATNER,2006-08-23,2006-08-23,EXTERIEUR,AVENUE,DE SEGUR,75007,AVENUE DE SEGUR 75007 Paris France,48.850532, 2.308816,
RUSH HOUR 3,BRETT RATNER,2006-08-20,2006-08-20,EXTERIEUR,AVENUE,DU MARECHAL GALLIENI,75007,AVENUE DU MARECHAL GALLIENI 75007 Paris France,48.86105, 2.313255,
RUSH HOUR 3,BRETT RATNER,2006-10-16,2006-10-18,EXTERIEUR,AVENUE,GUSTAVE EIFFEL,75007,AVENUE GUSTAVE EIFFEL 75007 Paris France,48.857935, 2.295386,
RUSH HOUR 3,BRETT RATNER,2007-04-28,2007-04-28,EXTERIEUR,AVENUE,DE SEGUR,75007,AVENUE DE SEGUR 75007 Paris France,48.850532, 2.308816,
RUSH HOUR 3,BRETT RATNER,2006-03-10,2006-06-10,EXTERIEUR,AVENUE,ALBERT 1ER DE MONACO,75016,AVENUE ALBERT 1ER DE MONACO 75016 Paris France,48.861649, 2.289984,
RUSH HOUR 3,BRETT RATNER,2006-08-20,2006-08-20,EXTERIEUR,BOULEVARD,DE LA TOUR MAUBOURG,75007,BOULEVARD DE LA TOUR MAUBOURG 75007 Paris France,48.858079, 2.310001,
RUSH HOUR 3,BRETT RATNER,2006-03-10,2006-06-10,DOMAINE PUBLIC,JARDIN,DU TROCADERO,75016,JARDIN DU TROCADERO 75016 Paris France,48.862318, 2.287561,
RUSH HOUR 3,BRETT RATNER,2007-04-28,2007-04-28,EXTERIEUR,PLACE,DE L'ETOILE,75008,PLACE DE L'ETOILE 75008 Paris France,48.873757, 2.295909,
RUSH HOUR 3,BRETT RATNER,2006-03-10,2006-06-10,EXTERIEUR,PLACE,DE VARSOVIE,75016,PLACE DE VARSOVIE 75016 Paris France,48.860104, 2.290901,
RUSH HOUR 3,BRETT RATNER,2006-07-10,2006-07-10,DOMAINE PUBLIC,PORT,DES SAINT PERES,75006,PORT DES SAINT PERES 75006 Paris France,48.858126, 2.333666,
RUSH HOUR 3,BRETT RATNER,2006-10-16,2006-10-18,DOMAINE PUBLIC,PORT,DE PASSY,75016,PORT DE PASSY 75016 Paris France,48.850205, 2.27753,
RUSH HOUR 3,BRETT RATNER,2006-03-10,2006-05-10,EXTERIEUR,QUAI,DU MAIL BRANLY,75007,QUAI DU MAIL BRANLY 75007 Paris France,48.859167, 2.312778,
RUSH HOUR 3,BRETT RATNER,2006-03-10,2006-06-10,EXTERIEUR,QUAI,BRANLY,75007,QUAI BRANLY 75007 Paris France,48.860709, 2.297512,
RUSH HOUR 3,BRETT RATNER,2006-07-10,2006-07-10,EXTERIEUR,QUAI,BAS ET BERGES,75006,QUAI BAS ET BERGES 75006 Paris France,48.850531, 2.332233,
RUSH HOUR 3,BRETT RATNER,2006-10-23,2006-10-25,EXTERIEUR,QUAI,BRANLY,75007,QUAI BRANLY 75007 Paris France,48.860709, 2.297512,
RUSH HOUR 3,BRETT RATNER,2006-08-20,2006-08-20,EXTERIEUR,RUE,DE L'UNIVERSITE,75007,RUE DE L'UNIVERSITE 75007 Paris France,48.861018, 2.314093,
RUSH HOUR 3,BRETT RATNER,2006-08-23,2006-08-23,EXTERIEUR,RUE,CESAR FRANK,75015,RUE CESAR FRANK 75015 Paris France,48.847334, 2.309764,
RUSH HOUR 3,BRETT RATNER,2006-10-15,2006-10-15,EXTERIEUR,RUE,CAMBACERES,75008,RUE CAMBACERES 75008 Paris France,48.873228, 2.317947,
RUSH HOUR 3,BRETT RATNER,2006-08-23,2006-08-23,EXTERIEUR,RUE,BELLART,75007,RUE BELLART 75007 Paris France,48.847017, 2.308442,
RUSH HOUR 3,BRETT RATNER,2006-10-15,2006-10-15,EXTERIEUR,RUE,DE LABORDE,75008,RUE DE LABORDE 75008 Paris France,48.875682, 2.319615,
RUSH HOUR 3,BRETT RATNER,2006-08-21,2006-08-22,EXTERIEUR,RUE,JOSE MARIA DE HEREDIA,75007,RUE JOSE MARIA DE HEREDIA 75007 Paris France,48.84793, 2.307603,
RUSH HOUR 3,BRETT RATNER,2006-08-10,2006-08-10,EXTERIEUR,RUE,VALENTIN HAUY,75015,RUE VALENTIN HAUY 75015 Paris France,48.846865, 2.309938,
RUSH HOUR 3,BRETT RATNER,2006-08-20,2006-08-20,EXTERIEUR,RUE,FABERT,75007,RUE FABERT 75007 Paris France,48.860135, 2.311396,
RUSH HOUR 3,BRETT RATNER,2007-04-28,2007-04-28,EXTERIEUR,RUE,DE VAUGIRARD,75015,RUE DE VAUGIRARD 75015 Paris France,48.84312, 2.313183,
RUSH HOUR 3,BRETT RATNER,2006-09-30,2006-09-30,EXTERIEUR,RUE,BERNARD PALISSY,75006,RUE BERNARD PALISSY 75006 Paris France,48.853153, 2.331343,
RUSH HOUR 3,BRETT RATNER,2006-08-21,2006-08-22,EXTERIEUR,RUE,ROSA BONHEUR,75015,RUE ROSA BONHEUR 75015 Paris France,48.846449, 2.310259,
